Matricula,Qual sua idade ? ,Qual seu gênero ?,Qual a sua cor ?,Qua nível de escolaridade da sua mãe ?,Qual nível de escolaridade do seu pai ,Qual a renda familiar mensal total no período 2024.2 ?,Qual tipo de escola de ensino você frequentou no ensino médio ?,Onde você morava no período 2024.2 ?,"Quantas pessoas moravam na sua residência  no período 2024.2 ?
",Como você se desloca para a universidade no período 2024.2?,Você tinha acesso a internet onde você morava no período 2024.2 ?,No período 2024.2  você tinha computador próprio para estudar ?,Você trabalhava no período 2024.2 ?,Quantas horas você trabalhava no período 2024.2 ?,Seu trabalho interferia no seu desempenho acadêmico no período 2024.2 ?,Você recebeu auxílio financeiro da universidade  no período 2024.2 ?,Você já pensou em desistir da universidade  no período 2024.2 por dificuldades financeiras ?,Qual a renda familiar mensal total no período 2024.4 ?,Onde você morava no período 2024.4 ?,"Quantas pessoas moravam na sua residência  no período 2024.4 ?
",Como você se desloca para a universidade no período 2024.4 ?,Você tinha acesso a internet onde você morava no período 2024.4 ?,No período 2024.4  você tinha computador próprio para estudar ?,Você trabalhava no período 2024.4 ?,Quantas horas você trabalhava no período 2024.4 ?,Seu trabalho interferia no seu desempenho acadêmico no período 2024.4 ?,Você recebeu auxílio financeiro da universidade  no período 2024.4 ?,Você já pensou em desistir da universidade  no período 2024.4 por dificuldades financeiras ?,CRG,Polo
202316040031,21 a 25 anos,Masculino,Preto,Ensino fundamental,Ensino fundamental,Até 1 salário mínimo,Pública,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Não,"Sim, estágio remunerado",Até 20 horas/semana,"Sim, um pouco",Não,Sim,1 a 3 salários mínimos,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Não,"Sim, estágio remunerado",Até 20 horas/semana,"Sim, um pouco",Não,Sim,4.73,Cameta
202116040023,21 a 25 anos,Feminino,Pardo,Ensino médio,Ensino superior,Até 1 salário mínimo,Pública,Casa própria,5 ou mais,Veículo próprio,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Sim,Até 1 salário mínimo,Casa própria,5 ou mais,Veículo próprio,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Sim,8.62,Cameta
202416040015,18 a 20 anos,Masculino,Preto,Ensino fundamental,Ensino fundamental,Até 1 salário mínimo,Pública,Aluguel,3 a 4,Bicicleta/Andando,Não,Não,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Não,Não,Não,Não trabalhava no período,Não,Não,Sim,2.38,Cameta
202416040028,18 a 20 anos,Feminino,Pardo,Ensino fundamental,Ensino médio,Até 1 salário mínimo,Pública,Aluguel,1 a 2,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",De 20 a 40 horas/semana,"Sim, um pouco",Não,Sim,Até 1 salário mínimo,Aluguel,1 a 2,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",De 20 a 40 horas/semana,"Sim, um pouco",Não,Sim,2.44,Cameta
202416040013,21 a 25 anos,Masculino,Pardo,Ensino médio,Ensino fundamental,Até 1 salário mínimo,Pública,Casa própria,3 a 4,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Não,Até 1 salário mínimo,Casa própria,3 a 4,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Não,2.79,Cameta
202416040004,21 a 25 anos,Feminino,Pardo,Nenhuma,Ensino fundamental,Até 1 salário mínimo,Pública,Aluguel,3 a 4,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,2.97,Cameta
202116040006,21 a 25 anos,Masculino,Branco,Ensino médio,Ensino médio,Até 1 salário mínimo,Pública,Casa própria,3 a 4,Bicicleta/Andando,Não,Sim,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Casa própria,3 a 4,Bicicleta/Andando,Não,Sim,Não,Não trabalhava no período,Não,Não,Sim,7.99,Cameta
202116040005,21 a 25 anos,Feminino,Branco,Nenhuma,Nenhum,Até 1 salário mínimo,Pública,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,Até 1 salário mínimo,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,8.78,Cameta
202416040005,18 a 20 anos,Feminino,Branco,Ensino médio,Ensino médio,1 a 3 salários mínimos,Pública,Casa própria,3 a 4,Bicicleta/Andando,Sim,Sim,"Sim, trabalho informal",Até 20 horas/semana,"Sim, bastante",Não,Sim,1 a 3 salários mínimos,Casa própria,3 a 4,Bicicleta/Andando,Sim,Sim,"Sim, trabalho informal",Até 20 horas/semana,"Sim, bastante",Não,Sim,2.44,Cameta
202416040030,18 a 20 anos,Feminino,Branco,Ensino médio,Ensino médio,Até 1 salário mínimo,Pública,Casa própria,3 a 4,Bicicleta/Andando,Não,Não,Não,Não trabalhava no período,Não,Não,Não,Até 1 salário mínimo,Casa própria,3 a 4,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Não,2.73,Cameta
202416040009,18 a 20 anos,Masculino,Pardo,Ensino médio,Ensino fundamental,Até 1 salário mínimo,Pública,Casa própria,3 a 4,Veículo próprio,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,Até 1 salário mínimo,Casa própria,3 a 4,Veículo próprio,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,4.07,Cameta
202016040030,21 a 25 anos,Feminino,Pardo,Ensino médio,Ensino superior,Até 1 salário mínimo,Pública,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Não,Até 1 salário mínimo,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Não,7.92,Cameta
202016040028,21 a 25 anos,Masculino,Pardo,Ensino fundamental,Ensino fundamental,Até 1 salário mínimo,Pública,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Sim,Até 1 salário mínimo,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Sim,4.57,Cameta
202316040005,18 a 20 anos,Masculino,Branco,Nenhuma,Nenhum,Até 1 salário mínimo,Pública,Casa própria,1 a 2,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Sim,Sim,Até 1 salário mínimo,Casa própria,1 a 2,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Sim,Sim,4.82,Cameta
202285640023,21 a 25 anos,Feminino,Pardo,Ensino médio,Ensino médio,Pública,Até 1 salário mínimo,Casa própria,1 a 2,Bicicleta/Andando,Não,Não,"Sim, trabalho informal",Até 20 horas/semana,"Sim, um pouco",Não,Não,Até 1 salário mínimo,Casa própria,1 a 2,Bicicleta/Andando,Sim,Sim,"Sim, trabalho informal",Até 20 horas/semana,"Sim, um pouco",Não,Não,7.16,Limoeiro
202285940010,21 a 25 anos,Feminino,Preto,Ensino médio,Ensino médio,Pública,1 a 3 salários mínimos,Casa própria,3 a 4,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,1 a 3 salários mínimos,Casa própria,3 a 4,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,7.53,Oeiras
202285940019,Mais de 26 anos,Masculino,Pardo,Ensino superior,Ensino fundamental,Pública,Até 1 salário mínimo,Casa própria,1 a 2,Veículo próprio,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,Até 1 salário mínimo,Casa própria,1 a 2,Veículo próprio,Sim,Sim,"Sim, estágio remunerado",De 20 a 40 horas/semana,"Sim, um pouco",Não,Não,8.44,Oeiras
202285640010,21 a 25 anos,Feminino,Branco,Ensino superior,Ensino médio,Técnica,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Sim,Sim,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Sim,Sim,7.12,Limoeiro
202285940016,Mais de 26 anos,Masculino,Branco,Ensino médio,Ensino médio,Pública,Até 1 salário mínimo,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,De 20 a 40 horas/semana,Não,Não,Sim,Até 1 salário mínimo,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Sim,7.89,Oeiras
202285940022,Mais de 26 anos,Feminino,Pardo,Ensino fundamental,Ensino fundamental,Pública,Até 1 salário mínimo,Casa própria,5 ou mais,Bicicleta/Andando,Não,Não,"Sim, trabalho formal (CLT)",Mais de 40 horas/semana,"Sim, bastante",Não,Sim,Até 1 salário mínimo,Casa própria,5 ou mais,Bicicleta/Andando,Não,Não,"Sim, trabalho formal (CLT)",Mais de 40 horas/semana,"Sim, bastante",Não,Sim,7.44,Oeiras
202285640022,21 a 25 anos,Feminino,Pardo,Ensino médio,Nenhum,Pública,Até 1 salário mínimo,Aluguel,1 a 2,Bicicleta/Andando,Não,Não,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Aluguel,1 a 2,Bicicleta/Andando,Não,Sim,Não,Não trabalhava no período,Não,Não,Sim,7.31,Limoeiro
202285940020,Mais de 26 anos,Masculino,Pardo,Ensino fundamental,Nenhum,Pública,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Sim,Sim,"Sim, estágio remunerado",De 20 a 40 horas/semana,"Sim, um pouco",Não,Sim,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Sim,Sim,"Sim, estágio remunerado",De 20 a 40 horas/semana,"Sim, um pouco",Não,Sim,7.89,Oeiras
